date,price
01/01/2000,283.05
02/01/2000,294
03/01/2000,275.9
04/01/2000,275.85
05/01/2000,272.25
06/01/2000,289.15
07/01/2000,277.4
08/01/2000,274.95
09/01/2000,274.1
10/01/2000,263.8
11/01/2000,267
12/01/2000,272.65
01/01/2001,266.2
02/01/2001,265
03/01/2001,259.05
04/01/2001,263.45
05/01/2001,266.1
06/01/2001,269.9
07/01/2001,265.55
08/01/2001,275.35
09/01/2001,290.85
10/01/2001,280.95
11/01/2001,274.7
12/01/2001,276.5
01/01/2002,281.5
02/01/2002,296.55
03/01/2002,303
04/01/2002,309.35
05/01/2002,327.25
06/01/2002,319.05
07/01/2002,305.5
08/01/2002,312.4
09/01/2002,322.4
10/01/2002,316.35
11/01/2002,318.25
12/01/2002,342.75
01/01/2003,370.35
02/01/2003,347.65
03/01/2003,335.35
04/01/2003,336
05/01/2003,365.8
06/01/2003,345.15
07/01/2003,355.75
08/01/2003,371
09/01/2003,384.5
10/01/2003,384.6
11/01/2003,398.1
12/01/2003,417.25
01/01/2004,401.3
02/01/2004,392.25
03/01/2004,423
04/01/2004,387.3
05/01/2004,393.85
06/01/2004,393.75
07/01/2004,389.6
08/01/2004,408.1
09/01/2004,412.35
10/01/2004,426.2
11/01/2004,452
12/01/2004,438
01/01/2005,423.8
02/01/2005,436.55
03/01/2005,427.5
04/01/2005,433.2
05/01/2005,416.9
06/01/2005,436.8
07/01/2005,427.15
08/01/2005,433
09/01/2005,473.4
10/01/2005,472.65
11/01/2005,493.8
12/01/2005,513
01/01/2006,569.8
02/01/2006,556.5
03/01/2006,584
04/01/2006,638.25
05/01/2006,654
06/01/2006,600.4
07/01/2006,637
08/01/2006,621.75
09/01/2006,601.75
10/01/2006,600.9
11/01/2006,638.4
12/01/2006,635.7
01/01/2007,645.75
02/01/2007,677
03/01/2007,663.5
04/01/2007,678
05/01/2007,656.6
06/01/2007,648.5
07/01/2007,666.75
08/01/2007,668
09/01/2007,737.75
10/01/2007,783
11/01/2007,794.75
12/01/2007,836.5
01/01/2008,923.75
02/01/2008,969
03/01/2008,937.25
04/01/2008,867.75
05/01/2008,879.5
06/01/2008,932.75
07/01/2008,912
08/01/2008,836.5
09/01/2008,897
10/01/2008,728.5
11/01/2008,813.5
12/01/2008,865
01/01/2009,918.5
02/01/2009,943.75
03/01/2009,918.5
04/01/2009,889
05/01/2009,972
06/01/2009,941
07/01/2009,936.5
08/01/2009,950.75
09/01/2009,1001.25
10/01/2009,1044.5
11/01/2009,1172
12/01/2009,1104
01/01/2010,1082.75
02/01/2010,1112.5
03/01/2010,1109.5
04/01/2010,1175.25
05/01/2010,1214
06/01/2010,1240.5
07/01/2010,1168
08/01/2010,1233.5
09/01/2010,1311
10/01/2010,1336.75
11/01/2010,1375
12/01/2010,1410.25
01/01/2011,1333.5
02/01/2011,1409.75
03/01/2011,1431
04/01/2011,1531
05/01/2011,1537
06/01/2011,1508
07/01/2011,1613.75
08/01/2011,1826
09/01/2011,1629
10/01/2011,1718
11/01/2011,1704
12/01/2011,1574.5
01/01/2012,1738
02/01/2012,1788
03/01/2012,1660.75
04/01/2012,1662.5
05/01/2012,1567.5
06/01/2012,1569.5
07/01/2012,1622.75
08/01/2012,1657.75
09/01/2012,1781
10/01/2012,1718
11/01/2012,1728.25
12/01/2012,1664
01/01/2013,1674.5
02/01/2013,1591
03/01/2013,1602.5
04/01/2013,1472.75
05/01/2013,1410.25
06/01/2013,1203.25
07/01/2013,1331.5
08/01/2013,1392.75
09/01/2013,1335.75
10/01/2013,1333.75
11/01/2013,1245.25
12/01/2013,1201.5
01/01/2014,1246.5
02/01/2014,1327.75
03/01/2014,1294
04/01/2014,1292
05/01/2014,1254
06/01/2014,1313
07/01/2014,1295
08/01/2014,1285.75
09/01/2014,1210
10/01/2014,1173.25
11/01/2014,1184.5
12/01/2014,1199.25
01/01/2015,1263.5
02/01/2015,1205
03/01/2015,1179.25
04/01/2015,1204.3
05/01/2015,1189.8
06/01/2015,1171.8
07/01/2015,1095.1
08/01/2015,1132.5
09/01/2015,1115.2
10/01/2015,1141.4
11/01/2015,1065.3
12/01/2015,1060.2
01/01/2016,1116.4
02/01/2016,1234.4
03/01/2016,1235.6
04/01/2016,1290.5
05/01/2016,1217.5
06/01/2016,1320.6
07/01/2016,1357.5
08/01/2016,1311.4
09/01/2016,1317.1
10/01/2016,1273.1
11/01/2016,1173.9
12/01/2016,1151.7
01/01/2017,1211.4
02/01/2017,1253.9
03/01/2017,1251.2
04/01/2017,1268.3
05/01/2017,1275.4
06/01/2017,1242.3
07/01/2017,1273.4
08/01/2017,1322.2
09/01/2017,1284.8
10/01/2017,1270.5
11/01/2017,1282.15
12/01/2017,1296.5
01/01/2018,1343.35
02/01/2018,1320.3
03/01/2018,1323.9
04/01/2018,1316.25
05/01/2018,1303.5
06/01/2018,1250.55
07/01/2018,1219.2
08/01/2018,1206.85
09/01/2018,1183.5
10/01/2018,1217.7
11/01/2018,1220.45
12/01/2018,1281.65
01/01/2019,1322.5
02/01/2019,1325.45
03/01/2019,1291.15
04/01/2019,1285.15
05/01/2019,1296
06/01/2019,1413.2
07/01/2019,1430.55
08/01/2019,1526.55
09/01/2019,1487.6
10/01/2019,1506.4
11/01/2019,1456.35
12/01/2019,1523
01/01/2020,1580.85
02/01/2020,1626.35
03/01/2020,1604.65
04/01/2020,1716.75
05/01/2020,1725.65
06/01/2020,1770.7
07/01/2020,1971.68
08/01/2020,1970.5
09/01/2020,1893.9
10/01/2020,1879.9
11/01/2020,1779.86
12/01/2020,1895.1
